Pop_ID,Population,Code,seed_zone,treatment,use,block,ID,tag,plant_date,flower_date,death_date,days_until_flower,days_until_mortality ,length_cm_20220323,length_cm_20220608,survival_20220518,survival_20220608,survival_20220608_ex_replacements,notes_20220608,replaced_YorN,Replacement,Notes,length_cm_20220719,survival_20220719,Notes 20220719,flower_Y_N_20220823,phenology_20220823,flower_Y_N_20220909,phenology_20220909,survival_20220909,length_cm_20220915,flower_Y_N_20220915,phenology_20220915,survival_20220915,notes_20220915,flowering_Y_N_20221108,phenology_20221108,survival_20221108,TissueCollected
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_55,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,495,,4/20/22,,,,,11,13.6,1,1,1,,,,,28.9,1,,0,2,0,2,1,52.1,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_05,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,518,,4/20/22,,,,,11.6,15.5,1,1,1,,,,,40,1,,0,2,0,2,1,66.3,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_25,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,539,,4/20/22,,,,,12.3,16.4,1,1,1,,,,,27.6,1,,0,2,0,2,1,45.2,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_35,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,561,,4/20/22,,,,,10.5,13.2,1,1,1,,,,,25.1,1,,0,2,0,2,1,49.8,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_15,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,565,,4/20/22,,7/19/22,,90,9.6,10.1,1,1,1,dying,,,,,0,,,,,,0,,,,0,,,,0,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_46,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,569,,4/20/22,,,,,10.5,8.5,1,1,1,,,,,18.5,1,,0,2,0,2,1,32.1,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_36,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,588,,4/20/22,,,,,11.4,15.1,1,1,1,,,,,32.2,1,,0,2,0,2,1,51.2,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_26,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,597,77,4/20/22,,,,,14.1,16.7,1,1,1,,,,,35.5,1,,0,2,0,2,1,58.1,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_06,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,609,,4/20/22,11/8/22,,202,,11.4,17,1,1,1,,,,,35.5,1,,0,2,0,2,1,68.9,0,2,,,1,3,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_16,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,628,78,4/20/22,,7/19/22,,90,15.5,15.3,1,1,1,,,,,,0,,,,,,0,,,,0,,,,0,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_56,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,646,,4/20/22,,7/19/22,,90,8.1,11,1,1,1,,,,,,0,,,,,,0,,,,0,,,,0,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_47,15 - 20 Deg. F. / 3 - 6 ,dry,field,7,681,,4/20/22,9/15/22,,148,,12.9,15.3,1,1,1,,,,,28,1,,0,2,0,2,1,44.1,1,3,,,1,3,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_07,15 - 20 Deg. F. / 3 - 6 ,dry,field,7,695,,4/20/22,,,,,12.3,16,1,1,1,,,,,30.6,1,,0,2,0,2,1,60.8,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_17,15 - 20 Deg. F. / 3 - 6 ,dry,field,7,701,,4/20/22,9/9/22,,142,,12.9,17.2,1,1,1,,,,,27.8,1,,0,2,1,3,1,60.4,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_27,15 - 20 Deg. F. / 3 - 6 ,dry,field,7,757,,4/20/22,,,,,11.2,12.3,1,1,1,,,,,28.1,1,,0,2,0,2,1,50.9,0,2,,,0,2,1,
CO2,ERNA-CO932-292-11,ERNA-CO932-292-11_37,15 - 20 Deg. F. / 3 - 6 ,dry,field,7,762,,4/20/22,,,,,11.3,14.1,1,1,1,,,,,27.9,1,,0,2,0,2,1,47.4,0,2,,,0,2,1,
