Pop_code,Population,Treatment,Block,Code,seed_zone,ID,plant_date,death_date,flower_date,days_until_mortality,days_until_flowering,length_cm_20220531,survival_20220531,Notes,replaced_Y_N,replaced_with_20220606,length_cm 20220627,flowering_Y_N_20220627,phenology_20220627,survival_20220627,notes_20220627,flowering_Y_N_20220701,phenology_20220701,survival_20220701,notes_20220701,flowering_Y_N_20220705,phenology_20220705,num_infl_20220705,survival_20220705,notes_20220705,flowering_Y_N_20220713,phenology_20220713,num_infl_20220713,survival_20220713,notes_20220713,flowering_Y_N_20220718,phenology_20220718,num_infl_20220718,survival_20220718,notes_20220718,flowering_Y_N_20220725,phenology_20220725,num_infl_20220725,survival_20220725,notes_20220725,length_cm_20220801,survival_20220801,flowering_Y_N_20220801,phenology_20220801,num_inf_20220801,notes_20220801,flowering_Y_N_20220809,phenology_20220809,survival_20220809,flowering_Y_N_20220818,phenology_20220818,survival_20220818,notes,flowering_Y_N_20220829,phenology_20220829,survival_20220829,notes _20220829,bagged_20220829,flowering_Y_N_20220915,phenology_20220915,survival_20220915,num_inf_20220927,flowering_Y_N_20220927,phenology_20220927,survival_20220927,notes _20220927,Bagged,NumInf_coll_20220927,NumInf_coll_20221014,NumInf_coll_20221108
NM1,BOGR-NM080-67-CHAVES-16,wet,2,BOGR-NM080-67-CHAVES-16_58,15 - 20 Deg. F. / 3 - 6 ,833,5/12/22,,7/25/22,,74,7,1,,,,12.8,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,1,3,4,1,,22.5,1,1,3,10,,1,3,1,1,3,1,,1,5,1,,,1,5,1,,1,5,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,dry ,3,BOGR-NM080-67-CHAVES-16_48,15 - 20 Deg. F. / 3 - 6 ,866,5/12/22,,8/1/22,,81,10.3,1,,,,16.3,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,33.1,1,1,3,5,,1,3,1,1,3,1,,1,5,1,,,1,5,1,,1,5,1,aborted flowers,,,,
NM1,BOGR-NM080-67-CHAVES-16,dry ,3,BOGR-NM080-67-CHAVES-16_38,15 - 20 Deg. F. / 3 - 6 ,899,5/12/22,,7/13/22,,62,10.5,1,,,,16.4,0,2,1,,0,2,1,,0,2,,1,,1,3,4,1,,1,3,2,1,,1,3,9,1,,37.2,1,1,3,20,,1,3,1,1,3,1,,1,6,1,,,1,6,1,,1,6,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,dry ,3,BOGR-NM080-67-CHAVES-16_18,15 - 20 Deg. F. / 3 - 6 ,900,5/12/22,,8/9/22,,89,9.6,1,,,,15.1,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,30.2,1,0,2,,,1,3,1,1,3,1,,1,3,1,,,1,3,1,,1,6,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,dry ,3,BOGR-NM080-67-CHAVES-16_08,15 - 20 Deg. F. / 3 - 6 ,905,5/12/22,,7/25/22,,74,11.1,1,,,,13.3,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,1,3,5,1,,29.9,1,1,5,17,,1,5,1,1,5,1,,1,6,1,,,1,6,1,,1,6,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,dry ,3,BOGR-NM080-67-CHAVES-16_28,15 - 20 Deg. F. / 3 - 6 ,908,5/12/22,,8/1/22,,81,9.2,1,,,,13.1,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,25.5,1,1,3,2,,1,3,1,1,3,1,,1,3,1,,,1,3,1,,1,3,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,wet,4,BOGR-NM080-67-CHAVES-16_59,15 - 20 Deg. F. / 3 - 6 ,921,5/12/22,,7/25/22,,74,12.4,1,,,,18.4,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,1,3,4,1,,37.6,1,1,3,8,,1,3,1,1,3,1,,1,6,1,,,1,6,1,,1,6,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,wet,4,BOGR-NM080-67-CHAVES-16_49,15 - 20 Deg. F. / 3 - 6 ,925,5/12/22,,7/25/22,,74,10,1,,,,17.1,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,1,3,3,1,,25.2,1,0,2,,,1,3,1,1,3,1,,1,3,1,,,1,3,1,,1,5,1,,,,158,
NM1,BOGR-NM080-67-CHAVES-16,wet,4,BOGR-NM080-67-CHAVES-16_29,15 - 20 Deg. F. / 3 - 6 ,926,5/12/22,,8/1/22,,81,7.3,1,,,,10.1,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,buds,25.3,1,1,3,2,,1,3,1,1,3,1,,1,3,1,,,1,3,1,,1,3,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,wet,4,BOGR-NM080-67-CHAVES-16_09,15 - 20 Deg. F. / 3 - 6 ,927,5/12/22,,7/25/22,,74,9.9,1,,,,17.3,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,1,3,2,1,,30,1,1,3,3,,0,2,1,1,3,1,,1,5,1,,,1,5,1,,1,5,1,,,,,
